3,12,5,6,4,5,1,39
3,16,5,1,4,5,1,39
3,12,5,6,2,5,1,39
3,12,5,1,4,5,1,39
3,12,5,12,2,5,1,39
3,16,5,7,4,5,1,39
3,16,5,1,2,5,1,39
3,12,5,1,4,5,1,39
3,12,5,5,4,5,2,39
3,16,5,8,4,5,1,39
3,4,3,8,3,5,2,9
3,12,5,6,4,5,2,39
3,12,5,8,4,5,1,39
3,12,5,6,4,5,2,39
3,8,5,12,2,5,1,39
3,16,5,12,4,5,1,39
3,12,5,1,4,5,2,39
3,12,5,7,4,5,2,39
3,12,5,8,2,5,2,39
3,8,5,1,2,5,1,39
3,12,5,7,2,5,1,39
3,9,5,3,4,3,2,39
3,16,3,6,1,3,2,39
3,16,5,12,4,3,2,39
3,12,5,7,4,5,2,39
3,12,5,12,4,5,2,39
3,1,3,3,1,5,2,39
3,16,5,7,5,5,2,39
3,12,5,6,4,5,2,39
3,12,5,12,4,5,1,39
3,12,5,14,4,5,2,39
3,9,5,1,4,5,1,39
3,12,3,1,6,5,1,39
3,16,5,8,4,5,1,39
3,16,5,1,2,5,2,39
3,16,5,12,4,5,1,39
3,8,5,1,4,5,1,39
3,16,5,8,4,5,1,39
3,16,5,8,4,5,2,39
3,12,5,6,4,5,2,39
3,12,5,8,4,5,2,39
3,16,5,12,4,3,1,39
3,16,5,1,4,3,2,39
3,12,5,8,5,3,1,39
3,16,5,12,4,5,1,39
3,6,5,5,4,5,1,39
3,12,5,6,4,5,2,39
3,16,4,1,4,5,1,39
3,16,5,14,4,5,2,39
3,12,5,8,4,5,1,39
3,16,5,12,4,5,1,39
3,16,5,12,4,5,1,39
3,12,5,3,2,5,2,39
3,16,5,3,4,5,2,39
3,16,5,1,4,5,1,39
3,7,4,6,4,5,2,39
3,2,5,10,2,5,1,39
3,7,5,8,4,5,1,26
3,9,3,8,3,5,1,26
3,16,5,1,4,5,1,39
3,8,5,8,2,3,2,23
3,16,5,1,2,5,1,39
3,16,5,1,4,3,1,39
3,16,5,12,4,5,1,39
3,16,5,10,4,5,1,39
3,8,5,1,2,3,1,39
3,12,5,7,3,5,2,39
3,9,5,7,4,5,2,39
3,1,5,1,2,5,1,39
3,12,5,6,3,3,2,39
3,12,5,1,4,5,1,5
3,2,4,6,4,5,2,6
3,16,5,12,3,5,2,39
